Project Name,Link to Github,Uses 'Good First Issue' tagging? (0/1),Justification for Selection
React,https://github.com/facebook/react,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Angular,https://github.com/angular/angular,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Django,https://github.com/django/django,0,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Laravel,https://github.com/laravel/laravel,0,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Ruby on Rails,https://github.com/rails/rails,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Vue.js,https://github.com/vuejs/vue,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Spring Framework,https://github.com/spring-projects/spring-framework,0,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Express,https://github.com/expressjs/express,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
ASP.NET,https://github.com/dotnet/aspnetcore,1,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Meteor,https://github.com/meteor/meteor,0,Stackoverflow Business (https://stackoverflow.blog/2019/12/17/the-top-10-frameworks-and-what-tech-recruiters-need-to-know-about-them/)
Flask,https://github.com/pallets/flask,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Drupal,https://github.com/drupal/drupal,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Node.js,https://github.com/nodejs/node,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Pandas,https://github.com/pandas-dev/pandas,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Tensorflow,https://github.com/tensorflow/tensorflow,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Ansible,https://github.com/ansible/ansible,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Cordova,https://github.com/apache/cordova,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Xamarin,https://github.com/xamarin/Xamarin.Forms,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Apache Spark,https://github.com/apache/spark,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Hadoop,https://github.com/apache/hadoop,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Flutter,https://github.com/flutter/flutter,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
PyTorch,https://github.com/pytorch/pytorch,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Puppet,https://github.com/puppetlabs/puppet,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
CryEngine,https://github.com/CRYTEK/CRYENGINE,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Chef,https://github.com/chef/chef,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
MongoDB,https://github.com/mongodb/mongo,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
PostgreSQL,https://github.com/postgres/postgres,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
ElasticSearch,https://github.com/elastic/elasticsearch,1,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Redis,https://github.com/antirez/redis,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
MySQL,https://github.com/mysql/mysql-server,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Firebase,https://github.com/firebase/firebase-android-sdk https://github.com/firebase/firebase-ios-sdk https://github.com/firebase/firebase-js-sdk,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
Cassandra,https://github.com/apache/cassandra,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
MariaDB,https://github.com/MariaDB/server,0,Stackoverflow Developer Survey 2019 (https://insights.stackoverflow.com/survey/2019)
GitHub CLI,https://github.com/cli/cli,0,"Github Trending, 14 February 2020"
OpenChakra,https://github.com/premieroctet/openchakra,0,"Github Trending, 14 February 2020"
FreeRTOS,https://github.com/FreeRTOS/FreeRTOS,0,"Github Trending, 14 February 2020"
DeepSpeed,https://github.com/microsoft/DeepSpeed,1,"Github Trending, 14 February 2020"
Azure Policy,https://github.com/Azure/azure-policy,0,"Github Trending, 14 February 2020"
PySyft,https://github.com/OpenMined/PySyft,1,"Github Trending, 14 February 2020"
Actix,https://github.com/actix/actix,0,"Github Trending, 14 February 2020"
Chakra-UI,https://github.com/chakra-ui/chakra-ui,0,"Github Trending, 14 February 2020"
Airplay SDK,https://github.com/xfirefly/Airplay-SDK,0,"Github Trending, 14 February 2020"
Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,1,"Github Trending, 14 February 2020"
Front-End-Performance-Checklist,https://github.com/thedaviddias/Front-End-Performance-Checklist,1,"Github Trending, 14 February 2020"
Swagger,https://github.com/swagger-api/swagger-core,0,"Github Trending, 14 February 2020"
John Hopkins COVID-19,https://github.com/CSSEGISandData/COVID-19,0,"Github Trending, 14 February 2020"
Serverless,https://github.com/serverless/serverless,1,"Github Trending, 14 February 2020"
Kubernetes,https://github.com/kubernetes/kubernetes,1,"Github Trending, 14 February 2020"
HTML Standard Spec,https://github.com/whatwg/html,1,"Github Trending, 14 February 2020"
CSS Working Draft,https://github.com/w3c/csswg-drafts,1,"Github Trending, 14 February 2020"
Fyne,https://github.com/fyne-io/fyne,1,"Github Trending, 15 February 2020"
Lantern,https://github.com/getlantern/lantern,0,"Github Trending, 15 February 2020"
Trojan,https://github.com/trojan-gfw/trojan,1,"Github Trending, 15 February 2020"
PowerToys,https://github.com/microsoft/PowerToys,1,"Github Trending, 15 February 2020"
PyTorch 3D,https://github.com/facebookresearch/pytorch3d,0,"Github Trending, 15 February 2020"
Excelize,https://github.com/360EntSecGroup-Skylar/excelize,0,"Github Trending, 15 February 2020"
Animate.css,https://github.com/daneden/animate.css,1,"Github Trending, 15 February 2020"
SRS,https://github.com/ossrs/srs,0,"Github Trending, 15 February 2020"
JSON for C++,https://github.com/nlohmann/json,1,"Github Trending, 15 February 2020"
Clash,https://github.com/Dreamacro/clash,1,"Github Trending, 15 February 2020"
Keras,https://github.com/keras-team/keras,1,"Github Trending, 15 February 2020"
The Art of the Command Line,https://github.com/jlevy/the-art-of-command-line,0,"Github Trending, 16 February 2020"
Undecimus,https://github.com/pwn20wndstuff/Undecimus,1,"Github Trending, 16 February 2020"
ESBuild,https://github.com/evanw/esbuild,0,"Github Trending, 16 February 2020"
Lion,https://github.com/ing-bank/lion,1,"Github Trending, 16 February 2020"
Magisk,https://github.com/topjohnwu/Magisk,0,"Github Trending, 16 February 2020"
Org-Roam,https://github.com/jethrokuan/org-roam,1,"Github Trending, 16 February 2020"
Crawlab,https://github.com/crawlab-team/crawlab,1,"Github Trending, 16 February 2020"
Linux,https://github.com/torvalds/linux,0,"Github Trending, 16 February 2020"
Freespeech,https://github.com/Merkie/freespeech,0,"Github Trending, 17 February 2020"
System Design Primer,https://github.com/donnemartin/system-design-primer,0,"Github Trending, 17 February 2020"
Joplin,https://github.com/laurent22/joplin,1,"Github Trending, 17 February 2020"
Todomvc,https://github.com/tastejs/todomvc,1,"Github Trending, 17 February 2020"
Istio,https://github.com/istio/istio,1,"Github Trending, 17 February 2020"
Tachiyomi,https://github.com/inorichi/tachiyomi,0,"Github Trending, 17 February 2020"
NLP-Progress,https://github.com/sebastianruder/NLP-progress,0,"Github Trending, 17 February 2020"
spdlog,https://github.com/gabime/spdlog,0,"Github Trending, 17 February 2020"
efcore,https://github.com/dotnet/efcore,1,"Github Trending, 17 February 2020"
Sherlock,https://github.com/sherlock-project/sherlock,0,"Github Trending, 17 February 2020"
Trax,https://github.com/google/trax,0,"Github Trending, 18 February 2020"
GDB Frontend,https://github.com/rohanrhu/gdb-frontend/issues,0,"Github Trending, 18 February 2020"
Leon AI,https://github.com/leon-ai/leon,1,"Github Trending, 18 February 2020"
Playwright,https://github.com/microsoft/playwright,1,"Github Trending, 18 February 2020"
CleanArchitecture,https://github.com/ardalis/CleanArchitecture,1,"Github Trending, 18 February 2020"
Carbon,https://github.com/briannesbitt/Carbon,1,"Github Trending, 18 February 2020"
Hacker-Laws,https://github.com/dwmkerr/hacker-laws,0,"Github Trending, 19 February 2020"
Computer vision recipes,https://github.com/microsoft/computervision-recipes,0,"Github Trending, 19 February 2020"
DAIN,https://github.com/baowenbo/DAIN,0,"Github Trending, 19 February 2020"
Ganhacks,https://github.com/soumith/ganhacks,0,"Github Trending, 19 February 2020"
Lazagne,https://github.com/AlessandroZ/LaZagne,0,"Github Trending, 19 February 2020"
aws-cdk,https://github.com/aws/aws-cdk,1,"Github Trending, 19 February 2020"
odoo,https://github.com/odoo/odoo,0,"Github Trending, 19 February 2020"
Gogs,https://github.com/gogs/gogs,1,"Github Trending, 19 February 2020"
Application Inspector,https://github.com/microsoft/ApplicationInspector,0,"Github Trending, 19 February 2020"
Airflow,https://github.com/apache/airflow,0,"Github Trending, 19 February 2020"
Datahub,https://github.com/linkedin/datahub,0,"Github Trending, 19 February 2020"
Node's best practices,https://github.com/goldbergyoni/nodebestpractices,1,"Github Trending, 20 February 2020"
Clash for Android,https://github.com/Kr328/ClashForAndroid,0,"Github Trending, 20 February 2020"
Unform,https://github.com/Rocketseat/unform,1,"Github Trending, 20 February 2020"
Developer Roadmap,https://github.com/kamranahmedse/developer-roadmap,0,"Github Trending, 20 February 2020"
The Book of Secret Knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,0,"Github Trending, 20 February 2020"
Refined Github,https://github.com/sindresorhus/refined-github,1,"Github Trending, 20 February 2020"
Blazor,https://github.com/AdrienTorris/awesome-blazor,0,"Github Trending, 20 February 2020"
Tidy Tuesday,https://github.com/rfordatascience/tidytuesday,0,"Github Trending, 20 February 2020"
Python Facial Recognition,https://github.com/ageitgey/face_recognition,0,"Github Trending, 20 February 2020"
